datetime,isTracking,leftHandX,leftHandY,RightHandX,RightHandY,LeanX,LeanY
2017-03-06 22:28:35,A,579,946,870,956,-0.0247102,-0.00363195
2017-03-06 22:28:35,A,597,958,931,921,-0.156017,-0.762499
2017-03-06 22:28:35,A,598,959,934,919,-0.106341,-0.977149
2017-03-06 22:28:36,A,598,959,933,920,-0.0972697,-1
2017-03-06 22:28:36,A,595,946,937,922,-0.0660597,-1
2017-03-06 22:28:36,A,595,944,938,920,-0.0706513,-1
2017-03-06 22:28:36,A,610,947,937,920,-0.0916568,-0.951367
2017-03-06 22:28:36,A,608,943,945,914,-0.128502,-0.836174
2017-03-06 22:28:36,A,594,958,908,947,-0.168923,-0.687499
2017-03-06 22:28:36,A,574,957,965,914,-0.304793,-0.0528847
2017-03-06 22:28:36,A,568,952,955,930,-0.332328,0.421393
2017-03-06 22:28:36,A,570,954,954,934,-0.290827,0.738607
2017-03-06 22:28:36,A,570,957,945,951,-0.240846,0.991366
2017-03-06 22:28:36,A,560,966,952,951,-0.216797,1
2017-03-06 22:28:37,A,555,960,962,951,-0.209858,1
2017-03-06 22:28:37,A,555,959,964,945,-0.259803,1
2017-03-06 22:28:37,A,548,955,962,946,-0.297,1
2017-03-06 22:28:37,A,529,960,966,946,-0.350634,1
2017-03-06 22:28:37,A,500,971,964,945,-0.418279,1
2017-03-06 22:28:37,A,490,980,959,942,-0.43974,1
2017-03-06 22:28:37,A,485,976,960,943,-0.479343,1
2017-03-06 22:28:37,A,480,977,969,941,-0.478378,1
2017-03-06 22:28:37,A,480,973,994,937,-0.460862,1
2017-03-06 22:28:37,A,493,970,946,943,-0.410837,1
2017-03-06 22:28:37,A,540,952,888,936,-0.267187,0.928123
2017-03-06 22:28:38,A,580,959,921,922,0.0345788,0.837847
2017-03-06 22:28:38,A,631,941,983,905,0.186245,0.75331
2017-03-06 22:28:38,B,713,952,1117,888,0.431939,0.535344
2017-03-06 22:28:38,B,802,927,1206,896,0.452481,0.376808
2017-03-06 22:28:38,B,853,970,1251,916,0.429388,0.222101
2017-03-06 22:28:38,B,893,945,1310,942,0.387285,0.139195
2017-03-06 22:28:38,B,912,943,1338,953,0.336926,0.145538
2017-03-06 22:28:38,B,944,941,1361,956,0.378784,0.15562
2017-03-06 22:28:38,B,990,948,1373,951,0.309426,0.142455
2017-03-06 22:28:38,B,1009,945,1382,968,0.243395,0.139089
2017-03-06 22:28:38,B,1028,942,1393,985,0.232953,0.14578
2017-03-06 22:28:39,B,1057,925,1440,982,0.147442,0.19631
2017-03-06 22:28:39,B,1085,926,1520,956,0.088005,0.269402
2017-03-06 22:28:39,B,1109,930,1535,968,0.0532713,0.359437
2017-03-06 22:28:39,B,1131,935,1539,972,0.0696296,0.46507
2017-03-06 22:28:39,B,1151,941,1540,974,0.0659847,0.520766
2017-03-06 22:28:39,B,1166,943,1541,974,0.0095576,0.515988
2017-03-06 22:28:39,B,1169,944,1544,972,-0.0120727,0.537118
2017-03-06 22:28:39,B,1172,946,1540,971,-0.0311437,0.546097
2017-03-06 22:28:39,B,1170,948,1537,971,-0.0124454,0.569526
2017-03-06 22:28:39,B,1169,948,1539,974,0.00947017,0.585251
2017-03-06 22:28:39,B,1171,947,1541,978,0.0375719,0.608737
2017-03-06 22:28:40,B,1177,955,1549,984,0.0544181,0.639906
2017-03-06 22:28:40,B,1176,950,1562,986,0.0680794,0.619549
2017-03-06 22:28:40,B,1175,948,1562,986,0.0672251,0.636422
2017-03-06 22:28:40,B,1176,950,1559,985,0.0664753,0.604866
2017-03-06 22:28:40,B,1176,948,1559,985,0.0361409,0.538899
2017-03-06 22:28:40,B,1175,948,1560,984,0.0124667,0.496419
2017-03-06 22:28:40,B,1172,948,1558,984,-0.0146183,0.438247
2017-03-06 22:28:40,B,1172,948,1556,981,-0.0301789,0.405441
2017-03-06 22:28:40,B,1171,948,1552,978,-0.042989,0.377175
2017-03-06 22:28:40,B,1171,948,1553,979,-0.0572525,0.340248
2017-03-06 22:28:40,B,1170,947,1553,978,-0.0635705,0.322096
2017-03-06 22:28:40,B,1170,947,1552,975,-0.0654755,0.304868
2017-03-06 22:28:41,B,1169,947,1550,968,-0.0985702,0.25839
2017-03-06 22:28:41,B,1163,944,1520,934,-0.10971,0.230013
2017-03-06 22:28:41,B,1149,930,1558,961,-0.0901885,0.237983
2017-03-06 22:28:41,B,1165,915,1594,788,-0.0591068,0.236576
2017-03-06 22:28:41,B,1126,768,1617,781,-0.0227222,0.250476
2017-03-06 22:28:41,B,1118,679,1681,773,-0.0228373,0.235691
2017-03-06 22:28:41,B,1108,608,1682,779,-0.0166227,0.230254
2017-03-06 22:28:41,B,1086,568,1678,783,-0.00711372,0.227318
2017-03-06 22:28:41,B,1070,554,1721,865,0.00836093,0.22574
2017-03-06 22:28:41,B,1065,540,1680,785,0.016216,0.224972
2017-03-06 22:28:41,B,1064,539,1718,868,0.0221777,0.223637
2017-03-06 22:28:41,B,1066,541,1685,783,0.0282009,0.220408
2017-03-06 22:28:42,B,1067,543,1688,784,0.0323183,0.217352
2017-03-06 22:28:42,B,1063,554,1687,784,0.0396929,0.216553
2017-03-06 22:28:42,B,1055,577,1692,783,0.0468717,0.225567
2017-03-06 22:28:42,B,1033,641,1690,785,0.0401608,0.304082
2017-03-06 22:28:42,B,996,695,1693,787,-0.0401887,0.492592
2017-03-06 22:28:42,B,958,724,1746,798,-0.117374,0.604987
2017-03-06 22:28:42,B,912,771,1644,778,-0.206525,0.685115
2017-03-06 22:28:42,B,803,869,1636,790,-0.299035,0.734663
2017-03-06 22:28:42,B,737,945,1638,799,-0.402992,0.767393
2017-03-06 22:28:42,B,703,964,1636,800,-0.476622,0.772524
2017-03-06 22:28:42,B,677,973,1584,825,-0.539003,0.760904
2017-03-06 22:28:42,B,593,977,1579,825,-0.629629,0.717171
2017-03-06 22:28:43,B,498,987,1571,832,-0.705215,0.653324
2017-03-06 22:28:43,B,483,986,1576,831,-0.688169,0.58252
2017-03-06 22:28:43,B,637,960,1575,831,-0.681423,0.465175
2017-03-06 22:28:43,B,632,959,1599,822,-0.646932,0.380993
2017-03-06 22:28:43,B,626,958,1597,826,-0.613358,0.343007
2017-03-06 22:28:43,B,649,957,1604,823,-0.575773,0.311532
2017-03-06 22:28:43,B,628,952,1604,824,-0.549722,0.289353
2017-03-06 22:28:43,B,608,953,1604,821,-0.523181,0.263417
2017-03-06 22:28:43,B,617,944,1606,810,-0.515398,0.25063
2017-03-06 22:28:43,B,548,968,1473,813,-0.491533,0.283055
2017-03-06 22:28:43,B,548,947,1358,845,-0.438209,0.344714
2017-03-06 22:28:44,A,456,977,1159,910,-0.447554,0.434926
2017-03-06 22:28:44,A,445,976,1015,921,-0.418991,0.437819
2017-03-06 22:28:44,A,365,994,822,895,-0.342099,0.432063
2017-03-06 22:28:44,A,369,987,730,895,-0.283086,0.43364
2017-03-06 22:28:44,A,337,982,654,888,-0.197591,0.470104
2017-03-06 22:28:44,A,299,970,599,881,-0.152702,0.463005
2017-03-06 22:28:44,A,317,963,559,903,-0.131587,0.480253
2017-03-06 22:28:44,A,308,966,539,927,-0.131788,0.488363
2017-03-06 22:28:44,A,290,1001,817,919,-0.123257,0.505645
2017-03-06 22:28:44,A,271,965,789,926,-0.130107,0.582207
2017-03-06 22:28:44,A,280,990,790,922,-0.152001,0.702114
2017-03-06 22:28:44,A,282,978,784,935,-0.182235,0.791306
2017-03-06 22:28:44,A,295,940,797,932,-0.233561,0.876321
2017-03-06 22:28:45,A,290,947,807,930,-0.241011,0.8661
2017-03-06 22:28:45,A,289,946,809,931,-0.242415,0.824863
2017-03-06 22:28:45,A,292,944,812,930,-0.227698,0.774202
2017-03-06 22:28:45,A,289,946,814,929,-0.201699,0.705025
2017-03-06 22:28:45,A,307,923,764,947,-0.129898,0.559083
2017-03-06 22:28:45,A,279,1010,820,941,-0.0601707,0.424859
2017-03-06 22:28:45,A,295,914,822,944,-0.0364604,0.366038
2017-03-06 22:28:45,A,284,916,826,945,0.00451277,0.297139
2017-03-06 22:28:45,A,281,926,830,948,0.0702398,0.184791
2017-03-06 22:28:45,A,277,931,834,947,0.103674,0.113828
2017-03-06 22:28:45,A,282,915,817,926,0.126246,0.047464
2017-03-06 22:28:45,A,291,913,824,919,0.148844,-0.041226
2017-03-06 22:28:46,A,289,913,820,930,0.134289,-0.113638
