datetime,isTracking,leftEyeX,leftEyeY,rightEyeX,rightEyeY,NoseX,NoseY,LeftMouthX,LeftMouthY,RightMouthX,RightMouthY,pitch,yaw,roll,Happy,Engaged,WearingGlasses,LeftEyeClosed,RightEyeClosed,MouthOpen,MouthMoved,LookingAway
2017-04-07 16:22:19,A,591,287,671,296,632,337,594,358,652,363,-26,-13,-11,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Maybe
2017-04-07 16:22:19,A,588,292,667,297,630,342,591,363,654,366,-24,-10,-12,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe
2017-04-07 16:22:20,A,577,305,658,305,620,355,582,378,651,380,-24,-12,-9,No,No,Yes,Yes,Yes,No,Yes,Maybe
2017-04-07 16:22:20,A,579,310,664,310,624,359,584,382,654,383,-28,-2,-12,Unknown,Maybe,Unknown,Unknown,Unknown,Unknown,Unknown,Maybe
2017-04-07 16:22:20,A,578,309,664,310,628,361,586,384,654,385,-29,-2,-9,Unknown,Maybe,Unknown,Unknown,Unknown,Unknown,Unknown,Maybe
2017-04-07 16:22:20,A,628,309,665,314,636,337,626,356,652,363,-19,-14,-20,No,No,Yes,No,No,No,Yes,Yes
2017-04-07 16:22:21,A,0,0,0,0,0,0,0,0,0,0,-19,-4,-17,No,No,No,No,No,No,No,No
2017-04-07 16:22:21,A,0,0,0,0,0,0,0,0,0,0,-20,-7,-13,No,No,No,No,No,No,No,No
2017-04-07 16:22:21,A,629,309,664,318,634,339,629,353,656,362,-23,-4,-17,No,Maybe,Yes,Yes,Maybe,No,Yes,Maybe
2017-04-07 16:22:22,A,0,0,0,0,0,0,0,0,0,0,-18,0,-24,No,No,No,No,No,No,No,No
2017-04-07 16:22:22,A,0,0,0,0,0,0,0,0,0,0,-19,-4,-16,No,No,No,No,No,No,No,No
2017-04-07 16:22:22,A,623,313,660,319,622,340,620,360,646,365,-23,6,-12,No,Maybe,Yes,Yes,Maybe,No,Yes,Maybe
2017-04-07 16:22:23,A,0,0,0,0,0,0,0,0,0,0,-17,10,-16,No,No,No,No,No,No,No,No
2017-04-07 16:22:23,A,627,312,664,316,634,343,622,365,650,367,-26,-23,0,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
2017-04-07 16:22:23,A,625,307,661,320,632,338,619,354,647,362,-28,-20,3,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
2017-04-07 16:22:24,A,0,0,0,0,0,0,0,0,0,0,-22,2,-15,No,No,No,No,No,No,No,No
2017-04-07 16:22:24,A,588,317,649,320,611,368,596,384,645,385,-18,6,-20,No,Maybe,Yes,No,Yes,No,Yes,Maybe
2017-04-07 16:22:24,A,610,321,659,321,619,360,611,384,650,383,-17,-12,-12,No,Maybe,Yes,No,Yes,No,Yes,Maybe
2017-04-07 16:22:24,A,623,316,663,322,632,348,619,366,647,370,-20,0,-13,No,Maybe,Yes,No,No,No,Yes,Maybe
2017-04-07 16:22:25,A,0,0,0,0,0,0,0,0,0,0,-23,19,-23,No,No,No,No,No,No,No,No
2017-04-07 16:22:25,A,0,0,0,0,0,0,0,0,0,0,-21,9,-16,No,No,No,No,No,No,No,No
2017-04-07 16:22:25,A,598,321,647,324,620,355,607,381,644,380,-23,14,-20,No,No,Yes,No,Yes,Maybe,Yes,Yes
2017-04-07 16:22:25,A,566,322,642,322,605,371,581,388,637,388,-23,3,-8,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe
2017-04-07 16:22:26,A,617,318,657,325,630,351,611,367,640,373,-21,-2,-10,No,No,No,No,No,No,No,No
2017-04-07 16:22:26,A,0,0,0,0,0,0,0,0,0,0,-17,-6,-15,No,No,No,No,No,No,No,No
2017-04-07 16:22:26,A,0,0,0,0,0,0,0,0,0,0,-21,13,-21,No,No,No,No,No,No,No,No
2017-04-07 16:22:27,A,594,325,646,321,611,346,608,374,642,367,-20,-15,-5,No,No,Yes,No,Yes,No,Yes,Yes
2017-04-07 16:22:27,A,564,302,645,301,606,357,576,382,638,382,-22,7,-15,No,Maybe,Yes,Maybe,No,No,Yes,Maybe
2017-04-07 16:22:27,A,564,273,645,277,607,322,578,354,637,355,-14,-7,-5,No,Maybe,Yes,No,Yes,Maybe,Yes,Maybe
2017-04-07 16:22:28,A,570,259,646,260,614,293,582,330,641,331,-6,-7,-3,No,No,Yes,Yes,Yes,No,Yes,No
2017-04-07 16:22:28,A,570,252,647,251,614,285,583,322,644,324,-3,-3,-4,No,No,No,Yes,Yes,No,Yes,No
2017-04-07 16:22:28,A,571,258,648,259,614,296,583,332,643,333,-8,-1,-6,No,No,Yes,Yes,Yes,No,Yes,No
2017-04-07 16:22:29,A,564,283,644,284,605,331,577,358,637,359,-21,0,-8,No,No,Yes,Yes,Yes,No,Yes,Maybe
2017-04-07 16:22:29,A,573,292,639,295,602,342,580,365,634,366,-19,12,-19,Maybe,No,Yes,Yes,Yes,No,Yes,Maybe
2017-04-07 16:22:29,A,565,295,636,297,604,340,574,365,631,365,-23,-6,-6,No,No,Yes,Yes,Yes,No,Yes,Maybe
2017-04-07 16:22:30,A,566,295,636,297,603,345,577,368,632,367,-23,0,-12,No,Maybe,Yes,Maybe,Yes,No,Yes,Maybe
2017-04-07 16:22:30,A,561,297,638,297,606,345,576,369,635,369,-18,3,-19,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe
2017-04-07 16:22:30,A,560,296,645,296,605,345,574,373,637,371,-22,10,-17,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe
2017-04-07 16:22:31,A,563,297,635,299,604,344,572,371,631,370,-18,-6,-5,No,No,Yes,Yes,Yes,No,Yes,Maybe
2017-04-07 16:22:31,A,559,300,635,299,601,347,574,371,636,371,-25,0,-7,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Maybe
2017-04-07 16:22:31,A,569,297,631,299,602,346,577,361,625,359,-22,9,-14,Maybe,Maybe,Yes,No,Yes,Maybe,Yes,Maybe
2017-04-07 16:22:32,A,564,297,634,299,597,346,574,364,627,368,-19,5,-18,No,Maybe,Yes,Maybe,Yes,No,Yes,Maybe
2017-04-07 16:22:32,A,556,299,637,300,598,346,572,373,634,372,-23,8,-13,Maybe,No,Yes,Yes,Yes,No,No,Maybe
2017-04-07 16:22:32,A,556,297,635,299,600,347,570,372,633,372,-19,11,-22,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe
2017-04-07 16:22:33,A,0,0,0,0,0,0,0,0,0,0,-20,5,-18,No,No,No,No,No,No,No,No
2017-04-07 16:22:33,A,567,300,639,301,599,344,578,369,635,371,-22,3,-13,Maybe,Maybe,Yes,Maybe,Yes,Maybe,Maybe,Maybe
2017-04-07 16:22:33,A,574,300,628,303,594,335,574,355,627,357,-17,0,-13,No,Yes,Yes,No,Maybe,No,Yes,No
2017-04-07 16:22:34,A,580,301,633,303,597,334,580,355,629,356,-19,-1,-14,No,Maybe,Yes,No,Yes,No,Yes,Maybe
2017-04-07 16:22:34,A,569,300,635,300,602,348,575,366,634,368,-25,-1,-2,Unknown,Maybe,Unknown,Unknown,Unknown,Unknown,Unknown,Maybe
2017-04-07 16:22:34,A,560,298,641,298,605,348,573,372,635,374,-20,4,-17,No,Maybe,Yes,Yes,No,Maybe,Yes,Maybe
2017-04-07 16:22:34,A,558,299,639,299,600,348,571,373,635,373,-21,11,-19,No,Maybe,Yes,Maybe,Maybe,No,Yes,Maybe
2017-04-07 16:22:35,A,556,300,635,301,602,349,573,374,634,374,-20,9,-18,Maybe,Maybe,Yes,Maybe,Maybe,Maybe,Yes,Maybe
2017-04-07 16:22:35,A,556,301,637,302,599,349,570,373,634,374,-22,-8,-12,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe
2017-04-07 16:22:36,A,557,302,635,302,601,350,570,374,636,374,-21,-1,-12,Maybe,No,Yes,Yes,Yes,Yes,Yes,Maybe
2017-04-07 16:22:36,A,571,300,634,302,601,350,572,368,629,371,-19,1,-19,No,Maybe,Yes,No,Yes,No,Yes,Maybe
2017-04-07 16:22:36,A,568,301,635,304,596,346,577,361,633,366,-20,13,-14,No,Maybe,Yes,No,Yes,No,Yes,Maybe
2017-04-07 16:22:37,A,568,303,633,304,606,348,578,371,630,373,-18,11,-22,No,Maybe,Yes,No,Maybe,No,Yes,Maybe
2017-04-07 16:22:37,A,571,302,629,303,599,346,575,361,624,359,-24,5,-11,Maybe,Maybe,Yes,No,Maybe,Maybe,Yes,Maybe
2017-04-07 16:22:37,A,572,302,633,304,612,340,579,365,630,364,-18,7,-20,No,Maybe,Yes,No,Maybe,No,Yes,Maybe
2017-04-07 16:22:38,A,570,303,631,304,598,343,574,367,628,361,-21,13,-19,No,Maybe,Yes,No,No,No,No,Maybe
2017-04-07 16:22:38,A,569,303,636,304,601,344,577,366,630,363,-20,4,-13,No,Maybe,Yes,No,No,No,No,Maybe
