datetime,isSpeaking,volume
20170306_215431,B,0.217688
20170306_215431,B,0.109218
20170306_215431,B,0.438858
20170306_215431,B,0.146135
20170306_215431,B,0.100249
20170306_215432,B,0.207654
20170306_215432,B,0.139603
20170306_215432,B,0.141059
20170306_215435,B,0.355031
20170306_215435,B,0.0975973
20170306_215435,B,0.0476985
20170306_215435,B,0.537501
20170306_215435,B,0.247043
20170306_215435,B,0.148421
20170306_215435,B,0.0447186
20170306_215435,B,0.0354026
20170306_215435,B,0
20170306_215435,B,0.0267228
20170306_215436,B,0
20170306_215436,B,0.0035052
20170306_215436,B,0.00901803
20170306_215436,B,0
20170306_215436,B,0.0454393
20170306_215436,B,0.0420167
20170306_215436,B,0.12508
20170306_215436,B,0.0399565
20170306_215437,B,0.371189
20170306_215437,B,0.287937
20170306_215437,B,0.164057
20170306_215437,B,0.117613
20170306_215437,B,0.101703
20170306_215437,B,0.0531576
20170306_215437,B,0.0548578
20170306_215437,B,0.263558
20170306_215437,B,0.0650402
20170306_215437,B,0.0250081
20170306_215437,B,0.0261513
20170306_215437,B,0.000145467
20170306_215438,B,0.291243
20170306_215438,B,0.145199
20170306_215438,B,0.104029
20170306_215438,B,0.0841499
20170306_215438,B,0.0399939
20170306_215438,B,0.0166857
20170306_215438,B,0
20170306_215438,B,0.026172
20170306_215438,B,0.0179399
20170306_215438,B,0
20170306_215438,B,0
20170306_215438,B,0.00982437
20170306_215438,B,0.0344098
20170306_215438,B,0
20170306_215442,A,0.463064
20170306_215442,A,0.449958
20170306_215442,A,0.325096
20170306_215442,A,0.148841
20170306_215442,A,0.0724943
20170306_215442,A,0.016119
20170306_215443,A,0.0208217
20170306_215443,A,0
20170306_215443,A,0.0911523
20170306_215443,A,0.259768
20170306_215443,A,0.153881
20170306_215443,A,0.457522
20170306_215443,A,0.106173
20170306_215443,A,0
20170306_215443,A,0.140952
20170306_215443,A,0
20170306_215443,A,0
20170306_215443,A,0
20170306_215443,A,0
20170306_215444,A,0
20170306_215444,A,0
20170306_215444,A,0
20170306_215444,A,0
20170306_215444,A,0
20170306_215444,A,0.624475
20170306_215444,B,0.457155
20170306_215444,B,0.287374
20170306_215444,B,0.385675
20170306_215444,B,0.0421569
20170306_215444,B,0.116539
20170306_215444,B,0.108071
20170306_215444,B,0
20170306_215444,B,0
20170306_215445,B,0
20170306_215445,B,0
20170306_215445,B,0
20170306_215445,B,0
20170306_215445,B,0
20170306_215445,B,0
20170306_215445,B,0
20170306_215448,B,0.265924
20170306_215448,A,0.531368
20170306_215448,A,0.100346
20170306_215448,A,0.711298
20170306_215450,A,0.323233
20170306_215450,A,0.535366
20170306_215450,A,0.515487
20170306_215451,A,0.470138
20170306_215451,B,0.345098
20170306_215451,B,0.365841
20170306_215451,B,0.215067
20170306_215451,B,0.214759
20170306_215451,B,0.0361531
20170306_215451,B,0.0457986
20170306_215451,B,0
20170306_215451,B,0.00173713
20170306_215451,B,0
20170306_215451,B,0.143442
20170306_215451,B,0.302534
20170306_215451,B,0.0440616
20170306_215451,B,0.0378799
20170306_215451,B,0.00206248
20170306_215452,B,0
20170306_215458,B,0.535012
20170306_215458,B,0.244749
20170306_215458,B,0
20170306_215458,B,0
20170306_215459,B,0.988824
20170306_215459,B,0.205476
20170306_215459,B,0.0115061
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0.0251405
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0
20170306_215459,B,0
20170306_215500,A,0.498505
20170306_215500,A,0.0525231
20170306_215500,A,0
20170306_215500,A,0
20170306_215500,A,0
20170306_215500,A,0
20170306_215500,A,0
20170306_215500,A,0
20170306_215500,A,0
20170306_215500,A,0
20170306_215500,A,0
20170306_215500,A,0
20170306_215501,A,0
20170306_215501,A,0.520883
20170306_215501,A,0.0666219
20170306_215501,A,0.0256966
20170306_215501,A,0.546556
20170306_215502,A,0.511662
20170306_215502,A,0.051394
20170306_215502,A,0
20170306_215502,A,0.781204
20170306_215503,A,0.0413729
20170306_215503,A,0
20170306_215503,A,0.572054
20170306_215503,A,0.0510525
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215503,A,0
20170306_215504,A,0
20170306_215504,A,0
20170306_215504,A,0
20170306_215504,A,0
