datetime,isTracking,leftEyeX,leftEyeY,rightEyeX,rightEyeY,NoseX,NoseY,LeftMouthX,LeftMouthY,RightMouthX,RightMouthY,pitch,yaw,roll,Happy,Engaged,WearingGlasses,LeftEyeClosed,RightEyeClosed,MouthOpen,MouthMoved,LookingAway
2017-03-06 22:28:35,A,735,534,783,535,750,563,738,587,780,587,-2,18,-3,No,No,Yes,No,No,No,Yes,Yes
2017-03-06 22:28:35,A,739,537,786,538,753,565,740,589,784,590,0,19,-3,No,Maybe,Yes,No,No,No,Yes,Maybe
2017-03-06 22:28:36,A,740,538,787,540,754,566,742,590,783,591,0,19,-4,No,Maybe,Yes,No,No,No,Yes,Maybe
2017-03-06 22:28:36,A,741,540,788,542,754,566,742,590,784,591,3,20,-2,No,No,Yes,Yes,Yes,No,Yes,Yes
2017-03-06 22:28:36,A,743,539,790,541,755,566,743,590,784,591,3,19,-3,No,No,Yes,Yes,Yes,No,Yes,Yes
2017-03-06 22:28:36,A,743,539,791,541,756,567,743,593,783,595,2,39,-2,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
2017-03-06 22:28:36,A,739,541,786,542,753,568,742,596,782,596,0,20,-1,No,No,Yes,No,Maybe,Maybe,Yes,Yes
2017-03-06 22:28:36,A,734,540,784,542,749,569,735,595,779,596,-2,20,0,Maybe,No,Yes,No,Maybe,No,Yes,Yes
2017-03-06 22:28:36,A,728,534,778,536,742,566,732,593,772,594,-4,28,-2,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
2017-03-06 22:28:36,A,725,525,776,528,740,557,728,585,769,586,-2,20,-3,No,No,Yes,No,No,Maybe,Yes,Yes
2017-03-06 22:28:36,A,723,513,775,517,737,545,725,575,768,577,0,23,-3,No,No,Yes,No,Maybe,Yes,Yes,Yes
2017-03-06 22:28:36,A,721,506,775,510,735,538,722,568,765,571,0,23,-6,No,No,Yes,No,No,Maybe,Yes,Yes
2017-03-06 22:28:36,A,718,502,772,508,731,536,716,567,761,572,-1,19,-8,No,No,Yes,No,Maybe,Maybe,Yes,Yes
2017-03-06 22:28:37,A,706,502,762,508,719,538,704,569,752,573,-1,22,-6,No,No,Yes,No,Maybe,Maybe,Yes,Yes
2017-03-06 22:28:37,A,689,504,747,511,702,543,687,573,738,578,-4,25,-9,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
2017-03-06 22:28:37,A,670,504,731,510,684,545,670,575,721,580,-4,24,-7,Maybe,No,Yes,No,Maybe,No,Yes,Yes
2017-03-06 22:28:37,A,650,502,711,507,664,545,652,576,704,580,-4,25,-5,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
2017-03-06 22:28:37,A,637,503,697,507,651,546,637,578,691,581,-5,26,-7,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
